timestamp,date,hour,day_of_week,month,is_weekday,is_peak_hour,vehicle_volume_thousands,weather_severity,weather_label,accident_present,event_or_holiday,congestion_index,traffic_density,estimated_delay_min,location
2023-01-01 00:00,2023-01-01,0,Sunday,January,0,0,4,4.6,Drizzle,1,0,44.9,Low,17.1,MG Road
2023-01-01 01:00,2023-01-01,1,Sunday,January,0,0,4,1.3,Clear,0,1,24.5,Low,9.3,MG Road
2023-01-01 02:00,2023-01-01,2,Sunday,January,0,0,15,4.4,Drizzle,0,0,27.6,Low,10.5,Central Ave
2023-01-01 03:00,2023-01-01,3,Sunday,January,0,0,14,6.1,Moderate Rain,1,0,53.2,Low,20.2,Central Ave
2023-01-01 04:00,2023-01-01,4,Sunday,January,0,0,1,2.4,Light Cloud,0,0,13.5,Low,5.1,Central Ave
2023-01-01 05:00,2023-01-01,5,Sunday,January,0,0,8,4.4,Drizzle,0,0,32.4,Low,12.3,East Bypass
2023-01-01 06:00,2023-01-01,6,Sunday,January,0,0,9,1.3,Clear,0,0,14.4,Low,5.5,Ring Road North
2023-01-01 07:00,2023-01-01,7,Sunday,January,0,1,4,5.7,Drizzle,0,0,62.0,Low,23.6,Central Ave
2023-01-01 08:00,2023-01-01,8,Sunday,January,0,1,6,3.4,Light Cloud,0,0,39.9,Low,15.2,NH-48 Stretch
2023-01-01 09:00,2023-01-01,9,Sunday,January,0,1,5,4.4,Drizzle,0,0,51.4,Low,19.5,East Bypass
2023-01-01 10:00,2023-01-01,10,Sunday,January,0,0,27,2.4,Light Cloud,0,0,13.3,Medium,5.1,NH-48 Stretch
2023-01-01 11:00,2023-01-01,11,Sunday,January,0,0,23,2.1,Light Cloud,1,0,33.7,Low,12.8,Ring Road North
2023-01-01 12:00,2023-01-01,12,Sunday,January,0,0,27,7.4,Moderate Rain,0,0,36.8,Medium,14.0,East Bypass
2023-01-01 13:00,2023-01-01,13,Sunday,January,0,0,29,1.7,Clear,0,0,14.6,Medium,5.5,MG Road
2023-01-01 14:00,2023-01-01,14,Sunday,January,0,0,25,3.2,Light Cloud,0,0,11.8,Medium,4.5,NH-48 Stretch
2023-01-01 15:00,2023-01-01,15,Sunday,January,0,0,24,1.7,Clear,0,0,14.8,Low,5.6,East Bypass
2023-01-01 16:00,2023-01-01,16,Sunday,January,0,0,29,3.0,Light Cloud,0,0,20.7,Medium,7.9,NH-48 Stretch
2023-01-01 17:00,2023-01-01,17,Sunday,January,0,1,27,5.0,Drizzle,0,0,56.4,Medium,21.4,NH-48 Stretch
2023-01-01 18:00,2023-01-01,18,Sunday,January,0,1,23,2.5,Light Cloud,0,1,56.0,Low,21.3,NH-48 Stretch
2023-01-01 19:00,2023-01-01,19,Sunday,January,0,1,10,6.8,Moderate Rain,0,0,62.0,Low,23.6,Ring Road North
2023-01-01 20:00,2023-01-01,20,Sunday,January,0,0,8,2.9,Light Cloud,0,0,13.5,Low,5.1,NH-48 Stretch
2023-01-01 21:00,2023-01-01,21,Sunday,January,0,0,5,7.6,Moderate Rain,0,0,41.9,Low,15.9,NH-48 Stretch
2023-01-01 22:00,2023-01-01,22,Sunday,January,0,0,14,2.2,Light Cloud,0,0,18.6,Low,7.1,MG Road
2023-01-01 23:00,2023-01-01,23,Sunday,January,0,0,9,5.7,Drizzle,0,0,28.4,Low,10.8,Central Ave
2023-01-02 00:00,2023-01-02,0,Monday,January,1,0,9,3.9,Light Cloud,0,0,25.6,Low,9.7,Central Ave
2023-01-02 01:00,2023-01-02,1,Monday,January,1,0,6,3.1,Light Cloud,0,0,22.7,Low,8.6,NH-48 Stretch
2023-01-02 02:00,2023-01-02,2,Monday,January,1,0,4,2.2,Light Cloud,1,1,52.0,Low,19.8,NH-48 Stretch
2023-01-02 03:00,2023-01-02,3,Monday,January,1,0,3,2.1,Light Cloud,0,0,23.0,Low,8.7,Ring Road North
2023-01-02 04:00,2023-01-02,4,Monday,January,1,0,8,2.4,Light Cloud,0,0,21.6,Low,8.2,East Bypass
2023-01-02 05:00,2023-01-02,5,Monday,January,1,0,15,6.1,Moderate Rain,0,0,44.6,Low,16.9,East Bypass
2023-01-02 06:00,2023-01-02,6,Monday,January,1,0,8,3.1,Light Cloud,0,0,22.4,Low,8.5,NH-48 Stretch
2023-01-02 07:00,2023-01-02,7,Monday,January,1,1,42,2.2,Light Cloud,0,0,49.9,Medium,19.0,Central Ave
2023-01-02 08:00,2023-01-02,8,Monday,January,1,1,53,3.4,Light Cloud,0,0,50.9,High,19.3,MG Road
2023-01-02 09:00,2023-01-02,9,Monday,January,1,1,39,6.4,Moderate Rain,0,0,70.8,Medium,26.9,East Bypass
2023-01-02 10:00,2023-01-02,10,Monday,January,1,0,26,3.6,Light Cloud,0,0,19.1,Medium,7.3,Central Ave
2023-01-02 11:00,2023-01-02,11,Monday,January,1,0,38,7.6,Moderate Rain,0,0,57.9,Medium,22.0,East Bypass
2023-01-02 12:00,2023-01-02,12,Monday,January,1,0,39,1.8,Clear,0,0,17.9,Medium,6.8,NH-48 Stretch
2023-01-02 13:00,2023-01-02,13,Monday,January,1,0,34,1.0,Clear,0,0,20.2,Medium,7.7,NH-48 Stretch
2023-01-02 14:00,2023-01-02,14,Monday,January,1,0,34,8.2,Heavy Rain,0,0,53.4,Medium,20.3,NH-48 Stretch
2023-01-02 15:00,2023-01-02,15,Monday,January,1,0,29,7.8,Moderate Rain,0,0,50.8,Medium,19.3,NH-48 Stretch
2023-01-02 16:00,2023-01-02,16,Monday,January,1,0,30,3.2,Light Cloud,0,0,23.5,Medium,8.9,Central Ave
2023-01-02 17:00,2023-01-02,17,Monday,January,1,1,52,3.0,Light Cloud,0,0,47.2,High,17.9,NH-48 Stretch
2023-01-02 18:00,2023-01-02,18,Monday,January,1,1,42,0.4,Clear,0,0,42.1,Medium,16.0,Ring Road North
2023-01-02 19:00,2023-01-02,19,Monday,January,1,1,48,7.7,Moderate Rain,0,0,76.5,High,29.1,Ring Road North
2023-01-02 20:00,2023-01-02,20,Monday,January,1,0,23,3.3,Light Cloud,0,0,23.1,Low,8.8,NH-48 Stretch
2023-01-02 21:00,2023-01-02,21,Monday,January,1,0,21,7.8,Moderate Rain,0,0,49.4,Low,18.8,MG Road
2023-01-02 22:00,2023-01-02,22,Monday,January,1,0,21,1.8,Clear,0,0,20.5,Low,7.8,MG Road
2023-01-02 23:00,2023-01-02,23,Monday,January,1,0,4,3.6,Light Cloud,0,0,20.0,Low,7.6,East Bypass
2023-01-03 00:00,2023-01-03,0,Tuesday,January,1,0,5,6.3,Moderate Rain,1,0,62.2,Low,23.6,East Bypass
2023-01-03 01:00,2023-01-03,1,Tuesday,January,1,0,4,4.0,Drizzle,0,1,51.6,Low,19.6,Ring Road North
2023-01-03 02:00,2023-01-03,2,Tuesday,January,1,0,3,4.0,Drizzle,0,0,38.6,Low,14.7,NH-48 Stretch
2023-01-03 03:00,2023-01-03,3,Tuesday,January,1,0,1,7.2,Moderate Rain,0,0,52.1,Low,19.8,MG Road
2023-01-03 04:00,2023-01-03,4,Tuesday,January,1,0,1,7.0,Moderate Rain,0,0,54.8,Low,20.8,Ring Road North
2023-01-03 05:00,2023-01-03,5,Tuesday,January,1,0,18,6.9,Moderate Rain,1,0,56.8,Low,21.6,East Bypass
2023-01-03 06:00,2023-01-03,6,Tuesday,January,1,0,12,6.0,Moderate Rain,0,0,45.5,Low,17.3,NH-48 Stretch
2023-01-03 07:00,2023-01-03,7,Tuesday,January,1,1,44,6.6,Moderate Rain,0,0,71.3,Medium,27.1,Central Ave
2023-01-03 08:00,2023-01-03,8,Tuesday,January,1,1,46,6.2,Moderate Rain,0,0,69.1,High,26.3,NH-48 Stretch
2023-01-03 09:00,2023-01-03,9,Tuesday,January,1,1,46,8.4,Heavy Rain,0,0,81.7,High,31.0,MG Road
2023-01-03 10:00,2023-01-03,10,Tuesday,January,1,0,30,2.7,Light Cloud,1,0,30.5,Medium,11.6,NH-48 Stretch
2023-01-03 11:00,2023-01-03,11,Tuesday,January,1,0,33,1.5,Clear,0,0,18.1,Medium,6.9,MG Road
2023-01-03 12:00,2023-01-03,12,Tuesday,January,1,0,30,8.9,Heavy Rain,0,0,60.5,Medium,23.0,MG Road
2023-01-03 13:00,2023-01-03,13,Tuesday,January,1,0,36,7.6,Moderate Rain,0,0,52.8,Medium,20.1,Central Ave
2023-01-03 14:00,2023-01-03,14,Tuesday,January,1,0,36,3.3,Light Cloud,0,0,24.1,Medium,9.2,Central Ave
2023-01-03 15:00,2023-01-03,15,Tuesday,January,1,0,33,3.7,Light Cloud,0,0,24.2,Medium,9.2,Ring Road North
2023-01-03 16:00,2023-01-03,16,Tuesday,January,1,0,31,2.0,Light Cloud,0,0,20.2,Medium,7.7,NH-48 Stretch
2023-01-03 17:00,2023-01-03,17,Tuesday,January,1,1,55,2.5,Light Cloud,0,0,47.5,High,18.1,Central Ave
2023-01-03 18:00,2023-01-03,18,Tuesday,January,1,1,54,3.5,Light Cloud,0,0,54.6,High,20.7,Ring Road North
2023-01-03 19:00,2023-01-03,19,Tuesday,January,1,1,52,4.8,Drizzle,0,0,62.0,High,23.6,NH-48 Stretch
2023-01-03 20:00,2023-01-03,20,Tuesday,January,1,0,24,6.2,Moderate Rain,0,0,46.2,Low,17.6,Ring Road North
2023-01-03 21:00,2023-01-03,21,Tuesday,January,1,0,25,8.9,Heavy Rain,0,0,58.0,Medium,22.0,MG Road
2023-01-03 22:00,2023-01-03,22,Tuesday,January,1,0,19,2.0,Light Cloud,0,0,22.8,Low,8.7,NH-48 Stretch
2023-01-03 23:00,2023-01-03,23,Tuesday,January,1,0,8,5.8,Drizzle,0,0,44.1,Low,16.8,East Bypass
2023-01-04 00:00,2023-01-04,0,Wednesday,January,1,0,3,1.0,Clear,0,0,22.9,Low,8.7,MG Road
2023-01-04 01:00,2023-01-04,1,Wednesday,January,1,0,9,4.3,Drizzle,0,0,33.8,Low,12.8,MG Road
2023-01-04 02:00,2023-01-04,2,Wednesday,January,1,0,5,3.2,Light Cloud,0,0,26.9,Low,10.2,Ring Road North
2023-01-04 03:00,2023-01-04,3,Wednesday,January,1,0,7,6.4,Moderate Rain,0,0,44.4,Low,16.9,Ring Road North
2023-01-04 04:00,2023-01-04,4,Wednesday,January,1,0,3,2.4,Light Cloud,1,0,36.0,Low,13.7,Ring Road North
2023-01-04 05:00,2023-01-04,5,Wednesday,January,1,0,10,1.7,Clear,0,0,25.9,Low,9.8,East Bypass
2023-01-04 06:00,2023-01-04,6,Wednesday,January,1,0,16,3.1,Light Cloud,0,0,18.9,Low,7.2,MG Road
2023-01-04 07:00,2023-01-04,7,Wednesday,January,1,1,47,7.9,Moderate Rain,1,0,95.3,High,36.2,East Bypass
2023-01-04 08:00,2023-01-04,8,Wednesday,January,1,1,45,0.3,Clear,0,0,45.4,High,17.3,MG Road
2023-01-04 09:00,2023-01-04,9,Wednesday,January,1,1,42,7.1,Moderate Rain,0,0,71.0,Medium,27.0,East Bypass
2023-01-04 10:00,2023-01-04,10,Wednesday,January,1,0,33,2.7,Light Cloud,0,0,22.5,Medium,8.6,MG Road
